,Дата,Время,Ставка
0,15.04.2022,17:15:27,21783.75
1,15.04.2022,17:15:22,21980.0
2,15.04.2022,17:15:08,22176.25
3,15.04.2022,17:15:06,22372.5
4,15.04.2022,17:15:03,22568.75
5,15.04.2022,17:15:02,22765.0
6,15.04.2022,17:14:59,22961.25
7,15.04.2022,17:14:57,23157.5
8,15.04.2022,17:14:54,23353.75
9,15.04.2022,17:14:53,23550.0
10,15.04.2022,17:14:50,23746.25
11,15.04.2022,17:14:46,23942.5
12,15.04.2022,17:14:44,24138.75
13,15.04.2022,17:14:42,24335.0
14,15.04.2022,17:14:39,24531.25
15,15.04.2022,17:14:37,24727.5
16,15.04.2022,17:13:59,24923.75
17,15.04.2022,17:13:19,25120.0
18,15.04.2022,17:10:01,25316.25
19,15.04.2022,17:09:05,25512.5
20,15.04.2022,17:08:32,25708.75
21,15.04.2022,17:08:27,25905.0
22,15.04.2022,17:07:43,26101.25
23,15.04.2022,17:07:38,26297.5
24,15.04.2022,17:07:33,26493.75
25,15.04.2022,17:07:24,26690.0
26,15.04.2022,17:07:21,26886.25
27,15.04.2022,17:06:55,27082.5
28,15.04.2022,17:06:50,27278.75
29,15.04.2022,17:06:45,27475.0
30,15.04.2022,17:04:50,27671.25
31,15.04.2022,17:04:47,27867.5
32,15.04.2022,17:04:38,28063.75
33,15.04.2022,17:04:36,28260.0
34,15.04.2022,17:04:30,28456.25
35,15.04.2022,17:04:14,28652.5
36,15.04.2022,17:03:03,28848.75
37,15.04.2022,17:03:02,29045.0
38,15.04.2022,17:02:58,29241.25
39,15.04.2022,17:02:46,29437.5
40,15.04.2022,17:02:40,29633.75
41,15.04.2022,17:02:36,29830.0
42,15.04.2022,17:02:30,30026.25
43,15.04.2022,17:02:23,30222.5
44,15.04.2022,17:02:19,30418.75
45,15.04.2022,17:02:15,30615.0
46,15.04.2022,17:02:09,30811.25
47,15.04.2022,17:02:06,31007.5
48,15.04.2022,17:02:01,31203.75
49,15.04.2022,17:01:57,31400.0
50,15.04.2022,17:01:50,31596.25
51,15.04.2022,17:01:31,31792.5
52,15.04.2022,17:01:12,31988.75
53,15.04.2022,16:59:22,32185.0
54,15.04.2022,16:55:27,32381.25
55,15.04.2022,16:53:32,32577.5
56,15.04.2022,16:52:37,32773.75
57,15.04.2022,16:52:30,32970.0
58,15.04.2022,16:52:26,33166.25
59,15.04.2022,16:52:19,33362.5
60,15.04.2022,16:48:57,33558.75
61,15.04.2022,16:46:53,33755.0
62,15.04.2022,16:45:02,33951.25
63,15.04.2022,16:40:59,34147.5
64,15.04.2022,16:40:12,34343.75
65,15.04.2022,16:29:29,34540.0
66,15.04.2022,16:29:15,34736.25
67,15.04.2022,16:28:35,34932.5
68,15.04.2022,16:28:21,35128.75
69,15.04.2022,16:27:31,35325.0
70,15.04.2022,16:24:30,35521.25
71,15.04.2022,15:57:08,35717.5
72,15.04.2022,15:53:15,35913.75
73,15.04.2022,15:50:14,36110.0
74,15.04.2022,15:44:11,36306.25
75,15.04.2022,15:43:16,36502.5
76,15.04.2022,15:39:12,36698.75
77,15.04.2022,15:38:27,36895.0
78,15.04.2022,15:38:14,37091.25
79,15.04.2022,15:37:39,37287.5
80,15.04.2022,15:32:54,37483.75
81,15.04.2022,15:17:23,37680.0
82,15.04.2022,15:09:35,37876.25
83,15.04.2022,14:57:32,38072.5
84,15.04.2022,14:49:01,38268.75
85,15.04.2022,14:43:19,38465.0
86,15.04.2022,14:41:40,38661.25
87,15.04.2022,14:40:22,38857.5
88,15.04.2022,14:35:39,39053.75
